Brand,RAM,Rear Camera,Front Camera,Battery,Display Size,Resolution,Screen To Body Ratoio,ROM,Sim Slot,Wifi,Blutooth,FingerPrint Sensor,Price,Processor
Apple,6 GB,48 MP + 12 MP + 12 MP,12 MP,3200 mAh,6.1 inches (15.49 cm),1179 x 2556 pixels,86.42 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax), MIMO",Wi-Fi Calling,No,"Rs. 119,999.00","Hexa Core (3.46 GHz, Dual Core + 2.02 GHz, Quad core)"
vivo,8 GB,50 MP + 2 MP,16 MP,5000 mAh,6.58 inches (16.71 cm),1080 x 2408 pixels,84.31 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 19,644.00","Octa core (2.2 GHz, Dual Core + 2 GHz, Hexa Core)"
Google,12 GB,50 MP + 12 MP + 48 MP,10.8 MP,5000 mAh,6.7 inches (17.02 cm),1440 x 3120 pixels,88.12 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.09 W/kg, Body: 0.91 W/kg",Wi-Fi Features,Yes,"Rs. 67,930.00","Octa core (2.85 GHz, Dual Core + 2.35 GHz, Dual core + 1.8 GHz, Quad core)"
iQOO,8 GB,50 MP + 13 MP + 8 MP,16 MP,5000 mAh,6.78 inches (17.22 cm),1440 x 3200 pixels,87.46 %,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax) 5GHz",Bluetooth,Yes,"Rs. 54,999.00","Octa core (3.2 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core)"
Samsung,6 GB,48 MP + 8 MP + 5 MP + 2 MP,13 MP,5000 mAh,6.4 inches (16.26 cm),1080 x 2400 pixels,83.68 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 24,786.00","Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)"
Moto,6 GB,50 MP + 8 MP + 2 MP,16 MP,5000 mAh,6.6 inches (16.76 cm),1080 x 2400 pixels,87.91 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.11 W/kg, Body: 1.27 W/kg",Wi-Fi Features,Yes,"Rs. 20,599.00","Octa core (2.2 GHz, Dual Core + 1.7 GHz, Hexa Core)"
Apple,4 GB,12 MP + 12 MP,12 MP,2815 mAh,6.1 inches (15.49 cm),1170 x 2532 pixels,86.89 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 b/g/n/ax), MIMO",Wi-Fi Calling,No,"Rs. 53,999.00","Hexa Core (3.1 GHz, Dual Core + 1.8 GHz, Quad core)"
Moto,4 GB,50 MP + 8 MP + 2 MP,16 MP,5000 mAh,6.6 inches (16.76 cm),1080 x 2400 pixels,87.85 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.05 W/kg, Body: 1.29 W/kg",Wi-Fi Features,Yes,"Rs. 11,249.00","Octa core (2.4 GHz, Quad Core + 1.9 GHz, Quad core)"
Xiaomi,6 GB,50 MP + 8 MP + 2 MP,13 MP,5000 mAh,6.67 inches (16.94 cm),1080 x 2400 pixels,85.46 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 0.867 W/kg, Body: 0.862 W/kg",Wi-Fi Features,Yes,"Rs. 14,570.00","Octa core (2.8 GHz, Quad Core + 1.9 GHz, Quad core)"
realme,8 GB,50 MP + 8 MP + 2 MP,16 MP,5000 mAh,6.7 inches (17.02 cm),1080 x 2412 pixels,87.79 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.191 W/kg, Body: 0.935 W/kg",Wi-Fi Features,Yes,"Rs. 27,200.00","Octa core (2.85 GHz, Quad Core + 2 GHz, Quad core)"
vivo,8 GB,64 MP + 8 MP + 2 MP,32 MP,4830 mAh,6.56 inches (16.66 cm),1080 x 2376 pixels,88.96 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.19 W/kg, Body: 0.88 W/kg",Wi-Fi Features,Yes,"Rs. 24,994.00","Octa core (3 GHz, Single Core + 2.6 GHz, Tri core + 2 GHz, Quad core)"
realme,6 GB,108 MP + 8 MP + 2 MP,16 MP,5000 mAh,6.4 inches (16.26 cm),1080 x 2400 pixels,84.21 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.162 W/kg, Body: 0.593 W/kg",Wi-Fi Features,Yes,"Rs. 16,999.00","Octa core (2.4 GHz, Quad Core + 1.9 GHz, Quad core)"
Xiaomi,6 GB,64 MP + 8 MP + 2 MP + 2 MP,13 MP,5000 mAh,6.43 inches (16.33 cm),1080 x 2400 pixels,83.53 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 0.857 W/kg, Body: 0.856 W/kg",Wi-Fi Features,Yes,"Rs. 11,499.00","Octa core (2.05 GHz, Dual Core + 2 GHz, Hexa Core)"
OPPO,12 GB,50 MP + 8 MP + 2 MP,32 MP,4500 mAh,6.7 inches (17.02 cm),1080 x 2412 pixels,90.61 %,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.185 W/kg, Body: 0.921 W/kg",Wi-Fi Features,Yes,"Rs. 45,999.00","Octa core (2.85 GHz, Quad Core + 2 GHz, Quad core)"
POCO,6 GB,64 MP + 8 MP + 2 MP,16 MP,5000 mAh,6.43 inches (16.33 cm),1080 x 2400 pixels,84.64 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 0.855 W/kg, Body: 0.853 W/kg",Wi-Fi Features,Yes,"Rs. 12,999.00","Octa core (2.05 GHz, Dual Core + 2 GHz, Hexa Core)"
Motorola,8 GB,200 MP + 50 MP + 12 MP,60 MP,4610 mAh,6.67 inches (16.94 cm),1080 x 2400 pixels,90.38 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.11 W/kg, Body: 1.17 W/kg",Wi-Fi Features,Yes,"Rs. 44,999.00","Octa core (3.2 GHz, Single Core + 2.75 GHz, Tri core + 2 GHz, Quad core)"
vivo,8 GB,64 MP + 8 MP + 2 MP,50 MP + 8 MP,4200 mAh,6.44 inches (16.36 cm),1080 x 2400 pixels,87.98 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.08 W/kg, Body: 0.72 W/kg",Wi-Fi Features,Yes,"Rs. 26,480.00","Octa core (2.5 GHz, Dual Core + 2 GHz, Hexa Core)"
Samsung,6 GB,50 MP + 5 MP + 2 MP + 2 MP,8 MP,5000 mAh,6.6 inches (16.76 cm),1080 x 2408 pixels,82.68 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 15,950.00","Octa core (2.4 GHz, Quad Core + 1.9 GHz, Quad core)"
Samsung,4 GB,50 MP + 2 MP,5 MP,5000 mAh,6.5 inches (16.51 cm),720 x 1600 pixels,81.06 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 11,499.00","Octa core (2.2 GHz, Dual Core + 2 GHz, Hexa Core)"
Moto,6 GB,108 MP + 8 MP + 2 MP,16 MP,5000 mAh,6.55 inches (16.64 cm),1080 x 2460 pixels,85.45 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.12 W/kg, Body: 1.19 W/kg",Wi-Fi Features,Yes,"Rs. 17,990.00","Octa core (2.2 GHz, Dual Core + 2 GHz, Hexa Core)"
Samsung,8 GB,12 MP + 64 MP + 12 MP,10 MP,4000 mAh,6.2 inches (15.75 cm),1080 x 2400 pixels,85.92 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax) 5GHz, MIMO",Bluetooth,Yes,"Rs. 38,999.00","Octa core (2.9 GHz, Single Core + 2.8 GHz, Tri core + 2.2 GHz, Quad core)"
OPPO,8 GB,50 MP + 8 MP + 2 MP,32 MP,4500 mAh,6.4 inches (16.26 cm),1080 x 2400 pixels,84.21 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.021 W/kg, Body: 1.080 W/kg",Wi-Fi Features,Yes,"Rs. 29,999.00","Octa core (3 GHz, Single Core + 2.6 GHz, Tri core + 2 GHz, Quad core)"
realme,4 GB,50 MP + 2 MP + 0.3 MP,8 MP,5000 mAh,6.6 inches (16.76 cm),1080 x 2408 pixels,84.62 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.194 W/kg, Body: 1.130 W/kg",Wi-Fi Features,Yes,"Rs. 11,999.00","Octa core (2 GHz, Dual Core + 1.8 GHz, Hexa Core)"
vivo,4 GB,50 MP + 2 MP + 2 MP,16 MP,5000 mAh,6.44 inches (16.36 cm),1080 x 2400 pixels,84.49 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 14,499.00","Octa core (2.4 GHz, Quad Core + 1.9 GHz, Quad core)"
OnePlus,4 GB,50 MP + 2 MP,8 MP,5000 mAh,6.56 inches (16.66 cm),720 x 1600 pixels,84.57 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 4 (802.11 b/g/n)",Bluetooth,Yes,"Rs. 13,299.00","Octa core (2.3 GHz, Quad Core + 1.8 GHz, Quad core)"
Infinix,8 GB,108MP + 2MP Depth + AI Lens,16 MP,5000 mAh,6.78 inches (17.22 cm),1080 x 2460 pixels,84.81 %,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz, MIMO",Bluetooth,Yes,"Rs. 15,999.00","Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)"
vivo,8 GB,64 MP + 8 MP + 2 MP,50 MP,4500 mAh,6.44 inches (16.36 cm),1080 x 2404 pixels,84.77 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 25,799.00","Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)"
vivo,6 GB,50 MP + 2 MP,8 MP,5000 mAh,6.58 inches (16.71 cm),1080 x 2408 pixels,84.31 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.21 W/kg, Body: 1.16 W/kg",Wi-Fi Features,Yes,"Rs. 13,999.00","Octa core (2.2 GHz, Dual Core + 2 GHz, Hexa Core + Quad core)"
Samsung,12 GB,108 MP + 10 MP + 10 MP + 12 MP,40 MP,5000 mAh,6.8 inches (17.27 cm),1440 x 3200 pixels,89.44 %,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax) 5GHz, MIMO",Bluetooth,Yes,"Rs. 64,999.00","Octa core (2.9 GHz, Single Core + 2.8 GHz, Tri core + 2.2 GHz, Quad core)"
vivo,8 GB,50 MP + 2 MP,16 MP,5000 mAh,6.64 inches (16.87 cm),1080 x 2388 pixels,85.29 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 16,999.00","Octa core (2.4 GHz, Quad Core + 1.9 GHz, Quad core)"
OnePlus,6 GB,50 MP + 8 MP + 2 MP,32 MP,4500 mAh,6.43 inches (16.33 cm),1080 x 2400 pixels,85.59 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.14 W/kg, Body: 1.15 W/kg",Wi-Fi Features,Yes,"Rs. 27,999.00","Octa core (3 GHz, Single Core + 2.6 GHz, Tri core + 2 GHz, Quad core)"
Xiaomi,4 GB,50 MP + 2 MP,5 MP,6000 mAh,6.7 inches (17.02 cm),720 x 1650 pixels,82.33 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 9,499.00","Octa core (2.4 GHz, Quad Core + 1.9 GHz, Quad core)"
Apple,6 GB,12 MP + 12 MP,12 MP,4325 mAh,6.7 inches (17.02 cm),1284 x 2778 pixels,87.55 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax), MIMO",Wi-Fi Calling,No,"Rs. 78,999.00","Hexa Core (3.23 GHz, Dual Core + 1.82 GHz, Quad core)"
Samsung,8 GB,50 MP + 12 MP + 10 MP,10 MP,3700 mAh,6.1 inches (15.49 cm),1080 x 2340 pixels,88.42 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 6 (802.11 a/b/g/n/ac/ax) 5GHz, MIMO",Bluetooth,Yes,"Rs. 48,300.00","Octa core (3 GHz, Single Core + 2.4 GHz, Tri core + 1.7 GHz, Quad core)"
Xiaomi,8 GB,50 MP + 50 MP + 50 MP,32 MP,4600 mAh,6.73 inches (17.09 cm),1440 x 3200 pixels,89.6 %,"256 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM, Dual VoLTE","Head: 0.775 W/kg, Body: 0.451 W/kg",Wi-Fi Features,Yes,"Rs. 42,390.00","Octa core (3 GHz, Single Core + 2.5 GHz, Tri core + 1.8 GHz, Quad core)"
Moto,4 GB,50 MP + 8 MP + 2 MP,16 MP,5000 mAh,6.5 inches (16.51 cm),1080 x 2400 pixels,85.48 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 0.84 W/kg, Body: 1.07 W/kg",Wi-Fi Features,Yes,"Rs. 10,990.00","Octa core (2.4 GHz, Quad Core + 1.9 GHz, Quad core)"
Samsung,6 GB,108 MP + 8 MP + 2 MP + 2 MP,32 MP,5000 mAh,6.7 inches (17.02 cm),1080 x 2400 pixels,85.46 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM",Head: 1.31 W/kg,Wi-Fi Features,Yes,"Rs. 22,979.00","Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)"
Xiaomi,6 GB,108 MP + 8 MP + 2 MP + 2 MP,16 MP,5000 mAh,6.67 inches (16.94 cm),1080 x 2400 pixels,86.01 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 0.852 W/kg, Body: 0.451 W/kg",Wi-Fi Features,Yes,"Rs. 17,999.00","Octa core (2.05 GHz, Dual Core + 2 GHz, Hexa Core)"
OPPO,8 GB,64 MP + 2 MP + 2 MP,32 MP,4500 mAh,6.43 inches (16.33 cm),1080 x 2400 pixels,85.28 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.19 W/kg, Body: 1.14 W/kg",Wi-Fi Features,Yes,"Rs. 20,999.00","Octa core (2.4 GHz, Quad Core + 1.9 GHz, Quad core)"
OnePlus,8 GB,48 MP + 50 MP + 8 MP,32 MP,5000 mAh,6.7 inches (17.02 cm),1440 x 3216 pixels,89.97 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.16 W/kg, Body: 0.70 W/kg",Wi-Fi Features,Yes,"Rs. 59,999.00","Octa core (3 GHz, Single Core + 2.5 GHz, Tri core + 1.8 GHz, Quad core)"
Samsung,6 GB,50 MP + 5 MP + 2 MP + 2 MP,8 MP,6000 mAh,6.6 inches (16.76 cm),1080 x 2408 pixels,82.68 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM",Head: 1.139 W/kg,Wi-Fi Features,Yes,"Rs. 15,499.00","Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)"
OPPO,8 GB,50 MP + 2 MP,8 MP,5000 mAh,6.56 inches (16.66 cm),720 x 1612 pixels,84.46 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 18,690.00","Octa core (2.2 GHz, Dual Core + 2 GHz, Hexa Core)"
realme,6 GB,48 MP + 8 MP + 2 MP,16 MP,5000 mAh,6.4 inches (16.26 cm),1080 x 2400 pixels,84.21 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.188 W/kg, Body: 0.727 W/kg",Wi-Fi Features,Yes,"Rs. 18,467.00","Octa core (2.5 GHz, Dual Core + 2 GHz, Hexa Core)"
Xiaomi,6 GB,108 MP + 8 MP + 2 MP,16 MP,5000 mAh,6.67 inches (16.94 cm),1080 x 2400 pixels,86.01 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM, Dual VoLTE","Head: 0.861 W/kg, Body: 0.583 W/kg",Wi-Fi Features,Yes,"Rs. 20,949.00","Octa core (2.2 GHz, Dual Core + 1.7 GHz, Hexa Core)"
Samsung,6 GB,50 MP + 5 MP + 2 MP + 2 MP,8 MP,5000 mAh,6.6 inches (16.76 cm),1080 x 2408 pixels,82.68 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Yes, Wi-Fi 5 (802.11 a/b/g/n/ac) 5GHz",Bluetooth,Yes,"Rs. 20,799.00","Octa core (2.2 GHz, Dual Core + 1.8 GHz, Hexa Core)"
Moto,4 GB,50 MP + 8 MP + 2 MP,16 MP,5000 mAh,6.4 inches (16.26 cm),1080 x 2400 pixels,83.89 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.02 W/kg, Body: 1.2 W/kg",Wi-Fi Features,Yes,"Rs. 9,999.00","Octa core (2.4 GHz, Quad Core + 1.9 GHz, Quad core)"
POCO,6 GB,64 MP + 8 MP + 2 MP,16 MP,5000 mAh,6.67 inches (16.94 cm),1080 x 2400 pixels,86.01 %,"64 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 0.861 W/kg, Body: 0.583 W/kg",Wi-Fi Features,Yes,"Rs. 16,499.00","Octa core (2.2 GHz, Dual Core + 1.7 GHz, Hexa Core)"
OnePlus,6 GB,64 MP + 8 MP + 2 MP,16 MP,4500 mAh,6.43 inches (16.33 cm),1080 x 2400 pixels,84.91 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM","Head: 1.023 W/kg, Body: 0.814 W/kg",Wi-Fi Features,Yes,"Rs. 23,999.00","Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)"
Samsung,6 GB,64 MP + 12 MP + 5 MP + 5 MP,32 MP,5000 mAh,6.5 inches (16.51 cm),1080 x 2400 pixels,85.45 %,"128 GB
                                                                                        
             
        
            
                
                
                
                
            
        

        Best in Class            
                ▾","Dual SIM, GSM+GSM",Head: 0.340 W/kg,Wi-Fi Features,Yes,"Rs. 26,999.00","Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)"
